"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Bean-Lima, for seed","Phaseolus lunatus","PHLU2","N,P,K","Seed","Vegetable","cwt","100","9.98","3.594547486","0.40805865922","1.8548603352","100","","","","","","","","","","","","","","","","89.50","89.60","91.00","90.00","","","","","","","","","","","","","","","90.03","3.312","3.616","3.696","","","","","","","","","3.7541899441","","","","","","","","","","","","","","","","","","","","","","0.40223463687","0.42","0.39","0.42","","","","","","","","","","","","","","","","","","","","","1.8994413408","1.80","1.92","1.80","","","","","","","","","","","","","","","","","","","","","","","","","","20.70","22.60","23.10","","","","","","","","","","","","","","","","3.36","0.36","","","","","1.7","","",""
"Bean-Lima, for straw","Phaseolus lunatus","PHLU2","N,P,K","Straw","Vegetable","ton","2000","10.95","1.1986292555","0.14295173962","1.1423905724","2,000","","","","","","","","","","","","","","","","89.10","","","89.00","","","","","","","","","","","","","","","89.05","1.216","","1.28","","","","","","","","","1.0998877666","","","","","","","","","","","","","","","","","","","","","","0.14590347924","","","0.14","","","","","","","","","","","","","","","","","","","","","1.1447811448","","","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","7.60","","8.00","","","","","","","","","","","","","","","","0.98","0.13","","","","","1.02","","",""
"Bean-Navy, for seed","Phaseolus vulgaris","PHVU","N,P,K","Seed","Vegetable","cwt","100","10.38","4.0286666667","0.60833333333","1.4327777778","100","","","","","","","","","","","","","","","","90.00","89.70","89.80","89.00","","","","","","","","","","","","","","","89.63","4.048","4.048","3.952","","","","","","","","","4.0666666667","","","","","","","","","","","","","","","","","","","","","","0.63333333333","0.58","0.61","0.61","","","","","","","","","","","","","","","","","","","","","1.4111111111","1.38","1.47","1.47","","","","","","","","","","","","","","","","","","","","","","","","","","25.30","25.30","24.70","","","","","","","","","","","","","","","","3.66","0.57","","","","","1.27","","",""
"Bean-Navy, for straw","Phaseolus vulgaris","PHVU","N,P,K","Straw","Vegetable","lb straw/cwt grain","76.14","10.93","1.1559625889","0.14530115975","1.1415937149","","","","","","","","","","","67.37","75.28","76.25","74.88","86.92","","89.10","","89.10","89.00","","","","","","","","","","","","","","","89.07","","1.088","1.28","","","","","","","","","1.0998877666","","","","","","","","","","","","","","","","","","","","","","0.14590347924","","0.15","0.14","","","","","","","","","","","","","","","","","","","","","1.1447811448","","1.14","1.14","","","","","","","","","","","","","","","","","","","","","","","","","","","6.80","8.00","","","","","","","","","","","","","","","","0.98","0.13","","","","","1.02","","",""
"Bean-Snap for seed (dry)","Phaseolus vulgaris","PHVU","N","Seed","Vegetable","cwt","100","10.00","4","#DIV/0!","#DIV/0!","100","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","","90.00","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bean-Snap, for pod with seeds (immature)","Phaseolus vulgaris","PHVU","N,P,K","Fruit","Vegetable","lb of fruit","1","87.75","2.9956521739","0.49869565217","2.3043478261","1","","","","","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","11.50","12.25","","","","","","","","","","2.9913043478","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","0.51739130435","","0.48","","","","","","","","","","","","","","","","","","","","","","2.3043478261","","","","","","","","","","","","","","","","87","","","","","","88.5","","","","","","","","","","","","","","","","","2.15","","","","","","0.0595","","","","","0.265"
"Beechnut (dry)","Fagus grandifolia","FAGR","N","Nut","Tree and fruit","lb of nut","1","6.60","1.0620985011","#DIV/0!","#DIV/0!","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.40","","93.40","","","","","","","","","1.0620985011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","","","","","","","","","","","","","","6.2","","","","","","","","","","","",""
"Beet-Red Table, for root","Beta vulgaris","BEVU2","N,P,K","Root","Vegetable","lb of root","1","87.46","2.1459272727","0.32353846154","2.4575523885","25","","","","","","","","","","","","","","","","13","12.7","","13","","","","","","","","13","","","","","","11.00","12.54","2.016","","2","","","","","","","2.7636363636","","2","1.95","","","","","","","","","","","","","","","","","","","","","0.30769230769","0.26","","0.28","","","0.5","","0.27","","","","","","","","","","","","","","","","2.1538461538","2.64","","2.4","","","2.6363634","","","","","","","","","","","","","","","","87","","","","","","89","12.6","","12.5","","","","","","","","","","","","","","1.9","","0.26","0.04","","","0.055","","0.28","","","0.29"
"Beet-Red Table, for top","Beta vulgaris","BEVU2","N,P,K","Stem and leaf","Vegetable","lb of leaf","1","87.95","3.686","0.44","6.26","35","","","","","","","","","","","","","","","","","9.1","","","","","","","","","","15","","","","","","","12.05","3.872","","","","","","","","","","","","3.5","","","","","","","","","","","","","","","","","","","","","","0.44","","","","","","","","","","","","","","","","","","","","","","","","6.26","","","","","","","","","","","","","","","","","","","","","85","","","","","","","24.2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bentgrass-Colonial, for hay","Agrostis capillaris","AGCA5","N,P,K","Aboveground biomass","Forage","ton","2000","13.10","1.136","0.2","1.6","2,000","","","","","","","","","","","","","","","","","86.9","","","","","","","","","","","","","","","","","86.90","1.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermudagrass, for green chop","Cynodon dactylon","CYDA","N,P,K","Aboveground biomass","Forage","ton","2000","70.88","1.878","0.1925","1.9575","2,000","","","","","","","","","","","","","","","","25","30.9","31.6","29","","","","","","","","","","","","","","","29.13","1.792","1.584","2.336","","","","","","","","","1.8","","","","","","","","","","","","","","","","","","","","","","0.2","0.2","0.16","0.21","","","","","","","","","","","","","","","","","","","","","2.2","2.2","1.51","1.92","","","","","","","","","","","","","","","","","","","","","","","","","","11.2","9.9","14.6","","","","","","","","","","","","","","","","0.45","0.05","","","","","0.55","","",""
"Bermudagrass, for green chop (early to mid bloom)","Cynodon dactylon","CYDA","N,P,K","Aboveground biomass","Forage","ton","2000","68.33","1.735047619","0.21","1.7357142857","2,000","","","","","","","","","","","","","","","","35","35","","","","","","","","","","25","","","","","","","31.67","1.648","","","","","","","","","","","1.6571428571","1.9","","","","","","","","","","","","","","","","","","","","","0.2","0.22","","","","","","","","","","","","","","","","","","","","","","","1.5714285714","1.9","","","","","","","","","","","","","","","","","","","","","75","","","","","","","10.3","","","","","","","","","","","","","","","","","","0.58","0.07","","","","","0.55","","",""
"Bermudagrass, for green chop (full bloom to mature)","Cynodon dactylon","CYDA","N,P,K","Aboveground biomass","Forage","ton","2000","68.33","1.5183809524","0.19","1.3","2,000","","","","","","","","","","","","","","","","35","35","","","","","","","","","","25","","","","","","","31.67","1.648","","","","","","","","","","","1.6571428571","1.25","","","","","","","","","","","","","","","","","","","","","","0.19","","","","","","","","","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","75","","","","","","","10.3","","","","","","","","","","","","","","","","","","0.58","","","","","","","","",""
"Bermudagrass, for green chop (pre bloom)","Cynodon dactylon","CYDA","N,P,K","Aboveground biomass","Forage","ton","2000","75.00","2.75","0.23","2.13","2,000","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","","","","","","25.00","","","","","","","","","","","","","2.75","","","","","","","","","","","","","","","","","","","","","","0.23","","","","","","","","","","","","","","","","","","","","","","","","2.13","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermudagrass, for hay","Cynodon dactylon","CYDA","N,P,K","Aboveground biomass","Forage","ton","2000","9.05","1.3745561694","0.18998618785","1.5497651934","2,000","","","","","","","","","","","","","","","","90.5","91.2","91.1","91","","","","","","","","","","","","","","","90.95","1.264","","1.6","","","","","","","","","1.2596685083","","","","","","","","","","","","","","","","","","","","","","0.20994475138","0.21","0.17","0.17","","","","","","","","","","","","","","","","","","","","","1.5690607735","1.57","1.53","1.53","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","10","","","","","","","","","","","","","","","","1.14","0.19","","","","","1.42","","",""
"Bermudagrass, for hay (early to mid bloom)","Cynodon dactylon","CYDA","N","Aboveground biomass","Forage","ton","2000","11.05","1.61","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","92.9","","","","","","","","","","85","","","","","","","88.95","1.52","","","","","","","","","","","","1.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","9.5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermudagrass, for hay (full bloom to mature)","Cynodon dactylon","CYDA","N","Aboveground biomass","Forage","ton","2000","11.40","1.198","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","92.2","","","","","","","","","","85","","","","","","","88.60","1.296","","","","","","","","","","","","1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bermudagrass, for hay (pre bloom)","Cynodon dactylon","CYDA","N","Aboveground biomass","Forage","ton","2000","12.20","2.354","#DIV/0!","#DIV/0!","2,000","","","","","","","","","","","","","","","","","90.6","","","","","","","","","","85","","","","","","","87.80","2.208","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","13.8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blackberry","Rubus sp.","RUBUS","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","85.64","0.80222841226","0.14623955432","1.364902507","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.36","","","14.36","","","","","","","","0.80222841226","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14623955432","","","","","","","","","","","","","","","","","","","","","","","","1.364902507","","","","","","","","","","","","","","","","","","","","","","85.64","","","","","","","","","","","","","","","","","0.72","","","","","","0.021","","","","","0.196","",""
